filename,gstd_bins0,gstd_bins1,gstd_bins2,gstd_bins3,gstd_bins4,gstd_bins5,gstd_bins6,gstd_bins7,class
transformed_image_normal_1.png,1.4858739508986307,41.02235268150497,0,23.458802493330925,40.813436339749096,0,25.241610243048243,13.324394098787993,1
transformed_image_normal_2.png,4.843908871807065,38.89075414993066,0,21.820697335245175,35.333034510179445,0,24.67828181324888,13.175526540790248,1
transformed_image_normal_3.png,3.111504728980125,39.5525352710831,0,20.434084544875308,37.70784159709969,0,27.98748312087963,10.456533654676093,1
transformed_image_normal_4.png,3.8669034637454667,39.015740608204815,0,23.096043259438805,42.44253581778767,0,24.27426356846546,12.225894708851708,1
transformed_image_normal_5.png,4.476494212500477,38.54195544547976,0,20.183449076582956,33.51051944452449,0,24.83128168056677,12.691387641941052,1
transformed_image_normal_6.png,5.7713854084530976,38.74792119785579,0,19.531708577364192,36.86085935851252,0,23.473279726241355,15.207065496676314,1
transformed_image_normal_7.png,17.678610553377005,37.46424921229444,0,22.878513842611827,22.320547193775752,0,20.328626805442063,15.266682729331201,1
transformed_image_normal_8.png,3.4467294156347226,37.45542450602895,0,19.83881002881325,37.648928494654086,0,25.614783664467915,12.881728176160118,1
transformed_image_normal_9.png,5.430868007078529,39.19672250621246,0.7071067811865476,20.957698299239375,33.1961774179754,0,22.76587910668154,14.238662449236099,1
transformed_image_normal_10.png,11.534800454403898,35.9656155472186,0,20.388262022746137,27.291593451113847,0,22.115027929164057,13.603770150681063,1
transformed_image_normal_11.png,3.7627349172869518,39.68022103780624,0,23.890365442209365,42.11734513504918,0,27.104120436863315,11.257723291707364,1
transformed_image_normal_12.png,5.469142980433837,40.77320546309329,0,24.035336066700374,35.15150936989525,0,23.8037805549337,13.616233835286536,1
transformed_image_normal_13.png,6.105646546177675,35.847539227383926,4.018475848894467,23.18469148494923,42.76372212368392,0,29.08521613795885,12.71935948625403,1
transformed_image_normal_14.png,2.893368773042893,39.25902930650456,0.0,17.55970985392977,38.285270180834374,0,26.04306703149348,12.811368117895139,1
transformed_image_normal_15.png,4.676350276722096,36.311549798659975,0,15.385050750541861,40.15396793191353,0,27.544797474170835,11.121256061146445,1
transformed_image_normal_16.png,4.014960857116409,39.77766881133793,0,19.996550859072926,37.21434499367133,0,25.571505903186257,11.94740014964818,1
transformed_image_normal_17.png,5.038467480584518,36.11930335663172,0,19.114714614139462,36.95775253272273,0,24.85383552836838,14.377461814586516,1
transformed_image_normal_18.png,6.358738609168312,34.848900601916625,0,21.275859262808083,31.662525119591987,0,23.6696811122158,12.686413394993584,1
transformed_image_normal_19.png,16.820720219892788,34.95148217203428,0,22.640989381469506,13.244677236472471,0,21.099271797423643,13.857029101665464,1
transformed_image_normal_20.png,5.245400578187806,40.97814607805105,0,24.18241515537864,36.45570678562993,0,22.860546412362833,14.193619823794675,1
transformed_image_normal_21.png,6.50906709052704,37.31684829544424,0,20.294678708555644,32.23829877672639,0,23.25494866560039,11.801529292407363,1
transformed_image_normal_22.png,8.9176941433789,40.36431279430216,0,23.736773709230427,31.440491025786315,0,21.47581076399097,14.90274741322006,1
transformed_image_normal_23.png,4.839598957008006,40.306405234034955,0.0,21.571018106958388,33.300670229763334,0,22.556394237990276,13.158371016080874,1
transformed_image_normal_24.png,5.851650192482785,40.440274289952534,0,22.16293080160324,41.302118152620345,0,26.765488438896018,12.735092421536933,1
transformed_image_normal_25.png,3.1848601144218143,38.50866910312352,0,22.122852927604743,37.16921706167574,0,25.093446381358003,13.007829815007256,1
transformed_image_normal_26.png,5.836783390928503,45.2166276025572,2.1213203435596424,22.672812535167456,37.60218810016835,0,21.69258901880419,14.497694128187934,1
transformed_image_normal_27.png,3.1674122792553274,37.03841921831294,0,18.371080433220577,38.49891867353445,0,25.413123010984318,12.584252159190255,1
transformed_image_normal_28.png,4.793052338285239,38.90343135387176,0.0,18.608141521649326,34.96919155672811,0,24.624866853514686,12.369076431214864,1
transformed_image_normal_29.png,3.347441634687227,40.04022605799716,0,22.168549109551176,40.392561204430336,0,27.122124663254574,12.702142000881668,1
transformed_image_normal_30.png,5.412927668139426,39.59108810931955,2.555148292924273,24.84756172165665,39.46573126442295,0,27.63658776942864,11.021940415407002,1
transformed_image_normal_31.png,2.578751085690256,42.11983712611038,0,23.032898468474578,38.02012915798339,0.0,25.81451423255072,12.545810535627563,1
transformed_image_normal_32.png,19.81892224118252,38.39164127147236,0,17.444374304280924,12.28454387538565,0,22.37057712399807,11.837661115904597,1
transformed_image_normal_33.png,1.700222118727599,37.02906032542124,0,18.576099429297734,40.65566204045226,0,26.05670871549427,13.66852512039755,1
transformed_image_normal_34.png,5.435827351706261,36.48013611264924,0,19.46485143633047,42.11572554632114,0,27.326129541067807,14.826368474989858,1
transformed_image_normal_35.png,4.117328252292911,38.30215530760583,1.25,17.882902871751096,35.61615070827071,0,24.360934558588006,12.956992132029551,1
transformed_image_normal_36.png,4.849253132319813,39.08316351458142,0,17.36995381555812,37.68984019228708,0.0,26.055379058019252,12.981921546297478,1
transformed_image_normal_37.png,4.400561250126819,40.94224702768885,0,26.541084434985237,40.96620611655654,0,28.224774199374927,9.521558124155607,1
transformed_image_normal_38.png,4.848437235335298,39.078731890525894,0,22.435585474347736,42.265207059028434,0,27.293511048864293,11.328889308537262,1
transformed_image_normal_39.png,5.520177064243325,37.37346338686855,0,19.17140434293811,39.320947896193104,0,26.753327084943916,13.184466735617542,1
transformed_image_normal_40.png,2.264774002662502,40.69073761366587,0,20.755875117135762,39.973491964954235,0,26.7297911059122,12.266455172722967,1
