filename,gmean_bins0,gmean_bins1,gmean_bins2,gmean_bins3,gmean_bins4,gmean_bins5,gmean_bins6,gmean_bins7,class
transformed_image_pneumonia_1.png,2.4524268962446194,67.51017825123932,143.0,177.20666553595657,75.99132888307756,0,176.13450800347437,242.84052243804422,2
transformed_image_pneumonia_2.png,1.6429223744292238,62.75381879899782,162.0,181.7701526842883,89.94719167709225,0,182.4937275985663,242.32601753074675,2
transformed_image_pneumonia_3.png,1.2189116490792469,69.04078539441957,156.0,187.09425566343043,88.12950562758228,0,179.16207639125014,244.59845215061765,2
transformed_image_pneumonia_4.png,0.7847049044056525,69.69406115129779,146.0,195.77541371158392,101.19234303215927,0,182.89716805942433,246.6008274720728,2
transformed_image_pneumonia_5.png,1.396604938271605,72.79281351630047,143.5,181.7245013500566,85.60871776244097,0,182.1637107776262,243.093614383137,2
transformed_image_pneumonia_6.png,2.604398743216224,63.29420532886156,0,192.67092812562916,91.17244157937148,0,172.94701510429152,244.7873198416847,2
transformed_image_pneumonia_7.png,3.146329913180742,67.2325327510917,0,173.11010573403823,75.67275358324146,0,170.9173588624525,239.1894873825959,2
transformed_image_pneumonia_8.png,0.2733812949640288,69.30508977593115,0,190.71405260126704,91.15792654267105,0,180.0701648268562,243.5821908226077,2
transformed_image_pneumonia_9.png,1.7384502923976608,84.38889294848374,0,172.6314184036604,71.30400161274065,0,187.7928074589315,238.81610307906357,2
transformed_image_pneumonia_10.png,0.7186876925865506,87.72056642941874,0,172.14652356509566,68.65114317050536,0,179.9453026481715,238.05085419149782,2
transformed_image_pneumonia_11.png,3.604342581423402,91.24980179704016,0,173.07430460999805,72.9930731707317,0,182.93808049535605,239.09387345952,2
transformed_image_pneumonia_12.png,26.67848433689739,111.35313225058005,160.0,170.37577135433582,42.538071923011984,0,211.8293500111682,233.11957143600145,2
transformed_image_pneumonia_13.png,12.936942209217264,107.72589914121521,149.2,173.46636363636364,51.838713607016686,0,192.48066126013725,239.0867903930131,2
transformed_image_pneumonia_14.png,5.546,97.98989966555185,0,169.53229558060477,56.96089264435056,0,187.24435131195335,235.55487184975118,2
transformed_image_pneumonia_15 (1).png,13.03708775533493,99.90969437145623,144.0,170.88139723801788,59.66148689823279,0,200.05110377194507,235.73624385002546,2
transformed_image_pneumonia_15.png,13.03708775533493,99.90969437145623,144.0,170.88139723801788,59.66148689823279,0,200.05110377194507,235.73624385002546,2
