filename,Bins0,Bins1,Bins2,Bins3,Bins4,Bins5,Bins6,Bins7,rmean_bins0,rmean_bins1,rmean_bins2,rmean_bins3,rmean_bins4,rmean_bins5,rmean_bins6,rmean_bins7,rstd_bins0,rstd_bins1,rstd_bins2,rstd_bins3,rstd_bins4,rstd_bins5,rstd_bins6,rstd_bins7,rskew_bins0,rskew_bins1,rskew_bins2,rskew_bins3,rskew_bins4,rskew_bins5,rskew_bins6,rskew_bins7,rkurto_bins0,rkurto_bins1,rkurto_bins2,rkurto_bins3,rkurto_bins4,rkurto_bins5,rkurto_bins6,rkurto_bins7,class
transformed_image_pneumonia_602.png,6523,12536,0,11248,12533,0,8160,14536,76.7632991,3.836072112,0,66.01440256,177.5686587,0,219.1506127,202.3292515,31.41344343,3.466555769,0,29.37313195,23.38509025,0,10.28327552,40.25718928,28.5149947,11.59712808,0,36.31466992,24.61866509,0,11.7002117,41.16641997,30.73804971,14.72058846,0,38.58667217,26.31332868,0,15.58595084,44.16174147,2
transformed_image_pneumonia_603.png,6138,14428,3,12118,9343,0,8266,15240,66.6969697,2.197809814,101,66.2799967,157.2521674,0,213.3251875,199.9713255,25.62933323,8.90778713,0,33.28988836,22.73298588,0,9.019302241,37.54069284,30.70531214,7.066263789,4.210906398,29.91293774,21.9163821,0,17.07731359,46.94590582,32.88098604,9.261211355,4.573020467,32.32498571,23.68670917,0,21.58560685,49.96845272,2
transformed_image_pneumonia_604.png,6158,16059,2,11356,7833,0,8656,15472,52.84264372,2.89295722,90.5,64.09114125,152.9359122,0,216.8547828,191.947001,27.8055264,4.907594787,3.651483717,26.8601973,19.54136611,0,13.59861132,43.23613933,36.60385209,9.137875718,6.746454471,25.84566705,24.33429965,0,16.26926685,47.0688418,38.82913788,11.12754791,7.14761953,27.69621852,26.27550086,0,20.19966042,50.17758583,2
transformed_image_pneumonia_605.png,7383,14762,0,11965,8277,0,5362,17787,41.71326019,2.825904349,0,62.07463435,154.3622085,0,221.8901529,179.023163,33.57539486,6.572356002,6.01040764,23.44740273,21.75406204,0,13.40977124,43.17033932,36.09331217,8.734076659,0,25.83495559,29.72346967,0,15.67426827,49.00281112,37.94426762,10.71477337,0,27.60568364,32.18587648,0,18.66190428,52.10458625,2
transformed_image_pneumonia_606.png,6611,9627,1,9462,14005,0,10078,15752,103.109817,8.543471486,134,71.93193828,174.1843627,0,203.6304822,208.4318817,33.63040608,6.241002466,0,23.56611582,26.43348423,0,13.44775608,44.97100493,26.95538652,20.74297148,0,45.89432503,17.66316606,0,11.32502638,35.09942589,28.49277277,24.88846181,0,48.4757781,19.52245521,0,12.49485521,38.31548264,2
transformed_image_pneumonia_607.png,6866,10383,4,10830,13069,0,11217,13167,100.4912613,5.515843205,126.75,64.51652816,178.0941924,0,223.2762771,212.5840358,24.95982626,15.96774864,0,42.50870557,15.41663742,0,10.07001442,31.24476829,27.67043299,17.18388851,7.608469136,45.95003143,21.65238092,0,12.10657728,38.70055887,29.52220105,20.95290681,7.900352401,48.16899852,23.34250907,0,14.64809427,42.30331736,2
transformed_image_pneumonia_608.png,6631,10189,7,9436,14128,0,10594,14551,100.1453778,12.3585239,121,72.78529038,166.7067525,0,209.0779687,211.6601608,25.40582335,13.1320037,7.150296225,43.09547157,19.52007948,0,10.17911737,34.443287,26.26570249,22.53208276,9.514134719,42.28375616,16.1026753,0,12.81285705,34.35752631,27.69815825,25.91037445,10.02311774,45.31675367,17.08692898,0,14.66140432,38.2146198,2
transformed_image_pneumonia_609.png,6674,11222,1,10748,12178,0,10039,14674,89.4650884,7.79950098,100,60.78805359,171.7021678,0,210.055384,209.447867,24.40446798,18.91342955,8.684505451,38.26636366,14.86111596,0,11.37906244,29.79054938,25.24756655,17.87643903,0,41.68581585,19.48042133,0,10.38892698,39.07852853,27.08633461,21.21010103,0,44.66974877,21.23866959,0,12.73964912,43.17113146,2
transformed_image_pneumonia_610.png,7425,12061,0,10227,10916,0,7434,17473,101.8068687,5.430892961,0,73.92901144,151.3338219,0,199.1401668,205.1860013,22.95040819,13.87145864,0,37.87287574,17.19797273,0,8.87176984,34.46746022,29.20774462,10.99600381,0,31.02473916,18.50746028,0,10.38479382,39.23703399,32.68197189,12.72998135,0,33.12675766,19.68063781,0,11.06951767,43.0074044,2
transformed_image_pneumonia_611.png,8362,10550,3,14081,11844,0,6886,13810,71.06146855,4.568436019,105.3333333,57.26525105,175.7342958,0,236.1896602,181.0903693,25.57842673,9.001304931,0,28.26568122,16.90334483,0,9.469550498,34.62565403,25.63835297,11.05940209,7.663024245,36.77059368,30.29369018,0,13.86513883,47.02309212,27.71064225,14.0693238,8.365400211,39.21174044,32.59101962,0,18.73158544,50.62288556,2
